,batter_id,height,weight,age
369,571745,74,215,27
370,434563,70,215,39
371,493329,72,190,34
372,455139,73,210,34
373,572821,71,200,31
374,430321,75,240,33
375,581527,69,190,27
376,621559,70,185,25
377,425560,74,205,38
378,624507,74,221,24
379,607223,76,275,25
380,491696,72,200,30
381,642156,74,220,26
382,544369,75,205,28
383,606115,72,165,24
384,593160,72,195,29
385,594809,69,176,29
386,116338,74,220,43
387,592200,75,235,29
388,425796,76,225,34
389,501983,72,235,30
390,571718,72,200,27
391,425557,74,220,37
392,408252,72,211,37
393,608385,75,215,25
394,430611,78,240,36
395,605233,75,205,25
396,640447,70,207,26
397,408045,77,225,35
398,460026,72,203,35
399,573131,75,250,32
400,519208,77,240,33
401,430001,72,210,36
402,607208,74,185,25
403,452104,74,215,34
404,592836,76,235,26
405,500874,78,215,30
406,592621,72,205,29
407,446334,73,215,32
408,553993,71,213,27
409,518792,77,240,29
410,592663,73,210,27
411,605141,69,180,26
412,517370,75,200,29
413,544925,74,210,31
414,605131,70,190,28
415,518934,76,215,30
416,136860,73,215,41
417,516416,70,205,28
418,649557,73,195,28
419,449181,74,215,32
420,457803,75,225,31
421,542340,73,215,27
422,488810,71,215,32
423,450317,73,210,32
424,519390,72,225,33
425,572114,69,180,30
426,519346,72,210,31
427,425509,74,225,36
428,523253,73,205,31
429,543038,74,205,31
430,460086,73,225,34
431,546991,74,190,24
432,572039,75,210,27
433,444843,74,210,36
434,547982,74,200,30
435,571553,73,220,28
436,475253,76,220,31
437,570615,79,260,27
438,543308,74,230,29
439,571980,74,195,27
440,456781,70,205,30
441,519345,74,200,30
442,435064,72,230,35
443,606466,73,165,24
444,429666,73,200,36
445,572019,76,210,30
446,572233,72,220,27
447,502029,75,229,30
448,471083,71,221,35
449,542194,74,213,27
450,543305,73,202,29
451,499624,76,210,34
452,605512,72,210,28
453,430637,73,200,36
454,514888,66,165,28
455,621439,74,190,24
456,502082,74,190,30
457,456714,72,260,32
458,611177,69,205,33
459,594777,70,200,30
460,592808,69,192,26
461,598284,76,235,28
462,488721,73,175,31
463,407893,75,225,38
464,543685,73,200,28
465,465674,72,180,33
466,476633,73,220,30
467,608596,73,220,27
468,542994,74,220,32
469,606192,74,180,25
470,502210,74,195,31
471,425784,70,215,35
472,605204,75,225,25
473,620439,70,190,22
474,435062,71,220,35
475,518649,76,215,29
476,488771,75,215,31
477,501571,73,215,29
478,475247,75,220,32
479,519333,72,200,29
480,543742,76,225,31
481,489232,74,240,35
482,134181,71,220,39
483,543484,73,216,28
484,456665,71,200,35
485,607369,74,224,29
486,434158,73,200,37
487,605137,76,235,26
488,574847,74,220,29
489,571437,77,215,27
490,459431,76,225,31
491,571697,70,185,28
492,400121,74,235,39
493,643217,70,170,24
494,646240,72,237,21
495,666561,72,215,31
496,502188,77,240,33
497,461858,74,215,32
498,572122,72,210,30
499,489138,74,220,31
500,488671,71,210,31
501,518960,72,200,32
502,457775,74,210,31
503,425772,72,205,35
504,453056,73,195,35
505,500871,70,185,29
506,459964,74,205,34
507,547957,74,210,30
508,572008,70,185,27
509,472528,70,215,32
510,571448,74,205,27
511,503556,73,205,29
512,501896,74,220,35
513,545358,70,200,27
514,346874,72,245,39
515,431151,72,205,35
516,407781,72,245,41
517,576397,70,215,30
518,435522,75,210,33
519,592789,78,240,26
520,542583,75,250,28
521,451594,77,195,32
522,489305,72,215,31
523,595978,73,206,26
524,572138,74,230,27
525,446653,73,205,33
526,621446,75,195,24
527,434567,73,225,35
528,572180,73,215,28
529,462101,72,200,30
530,519025,75,220,30
531,543510,75,225,28
532,543063,74,227,31
533,502517,73,221,33
534,457763,73,210,31
535,596144,73,210,25
536,446308,77,235,32
537,592230,75,225,26
538,474832,76,235,30
539,572669,76,220,28
540,453923,70,187,34
541,465041,73,210,32
542,570560,71,185,26
543,457759,71,205,33
544,458731,71,195,35
545,547179,75,217,26
546,408314,72,195,35
547,571970,72,210,28
548,516809,74,230,28
549,408236,74,215,36
550,605125,73,205,28
551,543401,71,195,31
552,453562,76,225,32
553,641313,73,185,25
554,467827,71,210,31
555,591741,75,240,25
556,607054,72,215,28
557,500208,71,205,31
558,592261,69,200,26
559,400284,73,195,39
560,455976,73,210,34
561,456488,72,195,31
562,434658,70,195,37
563,570482,72,215,26
564,448605,73,210,36
565,408307,74,230,37
566,593647,74,205,26
567,430404,73,230,37
568,571745,74,215,27
569,434563,70,215,39
570,493329,72,190,34
571,455139,73,210,34
572,572821,71,200,31
573,430321,75,240,33
574,581527,69,190,27
575,621559,70,185,25
576,425560,74,205,38
577,624507,74,221,24
578,607223,76,275,25
579,491696,72,200,30
580,642156,74,220,26
581,544369,75,205,28
582,606115,72,165,24
583,593160,72,195,29
584,594809,69,176,29
585,116338,74,220,43
586,592200,75,235,29
587,425796,76,225,34
588,501983,72,235,30
589,571718,72,200,27
590,425557,74,220,37
591,408252,72,211,37
592,608385,75,215,25
593,430611,78,240,36
594,605233,75,205,25
595,640447,70,207,26
596,408045,77,225,35
597,542454,71,185,27
598,605486,72,195,27
599,571812,75,255,30
600,452655,72,210,34
601,429713,74,205,36
602,543760,72,195,28
603,571681,72,160,27
604,488726,74,200,31
605,572041,73,195,30
606,444489,72,215,31
607,474319,74,225,31
608,485567,71,185,31
609,543302,72,200,30
610,573135,72,200,29
611,595386,73,260,30
612,150229,75,250,41
613,501659,69,210,29
614,607043,75,207,25
615,456121,72,195,38
616,642086,72,239,23
617,608070,69,165,26
618,516949,73,255,28
619,408047,76,220,37
620,641553,74,210,26
621,621035,73,195,28
622,622194,73,250,27
623,547170,75,230,26
624,545338,73,190,27
625,608384,75,195,25
626,458085,72,195,33
627,452035,78,265,32
628,570481,75,195,27
629,592685,73,200,26
630,657557,73,195,25
631,133380,73,205,40
632,592696,73,180,27
633,453269,76,225,33
634,608701,72,200,27
635,596119,73,200,26
636,624414,73,180,23
637,592325,71,185,26
638,424825,70,185,38
639,488862,74,215,35
640,493193,76,250,36
641,435559,71,210,35
642,607345,76,230,30
643,475100,76,215,32
644,452220,72,200,35
645,425766,75,235,34
646,622666,72,195,24
647,519083,72,235,29
648,424325,74,230,41
649,607385,71,215,28
650,605412,73,200,27
651,527038,75,205,27
652,543877,69,195,28
653,450314,75,210,37
654,543376,75,180,32
655,608703,73,200,27
656,552662,74,220,29
657,462564,71,210,38
658,425900,69,215,34
659,451109,73,210,34
660,572863,72,200,31
661,425844,74,200,34
662,455759,74,200,35
663,520471,70,185,28
664,489267,74,200,35
665,435263,75,225,34
666,622534,71,180,24
667,543257,72,215,29
668,628329,69,195,31
669,518577,69,190,32
670,628338,70,180,27
671,433217,70,192,34
672,445988,72,215,34
673,446386,74,200,32
674,541650,73,215,27
675,621002,71,200,24
676,547004,73,215,24
677,444379,74,202,35
678,572228,75,225,27
679,600301,73,195,29
680,572033,70,230,30
681,571868,74,245,31
682,622110,74,170,27
683,592647,74,195,25
684,474568,75,210,32
685,425877,71,205,36
686,588751,72,195,29
687,605357,74,205,29
688,542942,74,210,28
689,518953,70,175,32
690,544725,68,180,27
691,595777,72,190,25
692,543939,69,185,27
693,503449,73,255,29
694,474233,74,220,30
695,476704,72,180,34
696,648717,73,220,31
697,460269,74,230,35
698,434538,75,218,34
699,543238,73,190,28
700,493351,74,180,37
701,454560,74,225,37
702,605227,73,185,28
703,493472,75,215,31
704,593871,71,200,25
705,457706,73,198,31
706,425794,79,235,37
707,452678,72,205,32
708,592743,74,200,29
709,460099,76,205,34
710,642162,71,200,26
711,518614,70,190,31
712,592407,72,205,30
713,595284,73,195,26
714,431171,73,220,35
715,493596,72,190,32
716,591994,74,215,26
717,621020,73,190,24
718,477195,76,220,31
719,506924,72,215,31
720,506433,77,220,32
721,435079,72,200,36
722,595963,76,180,25
723,506702,70,225,29
724,571788,70,180,30
725,519068,72,210,32
726,578428,71,194,28
727,605113,74,195,28
728,431094,71,200,36
729,456422,71,190,35
730,519299,69,180,32
731,571974,71,205,27
732,600869,73,221,24
733,502126,77,225,31
734,502205,75,180,31
735,461815,75,210,36
736,592351,76,235,26
737,519295,71,205,29
738,474494,70,185,31
739,592592,74,220,30
740,606299,72,196,24
741,444876,73,205,31
742,537953,70,195,35
743,446359,72,205,33
744,572182,73,205,27
745,460055,78,235,34
746,656669,73,195,25
747,542908,76,235,28
748,514917,70,160,28
749,488681,74,210,32
750,457477,72,195,34
751,434636,74,200,37
752,570799,71,210,27
753,541608,68,195,28
754,430203,71,190,38
755,451089,72,225,30
756,276519,67,175,39
757,621433,72,185,24
758,624428,70,180,26
759,542436,72,185,27
760,502261,74,215,34
761,605228,75,240,26
762,493343,74,230,33
763,542208,72,210,27
764,594838,73,200,30
765,502544,74,190,31
766,571912,75,225,27
767,519141,78,240,29
768,593523,72,200,26
769,506560,66,160,29
770,543216,73,195,31
771,425567,77,210,37
772,519023,73,229,30
773,608324,72,180,24
774,642707,73,175,22
775,434540,77,235,37
776,460060,71,195,34
777,518586,72,200,29
778,456030,69,175,35
779,502190,70,170,30
780,502374,70,205,33
781,600303,71,180,29
782,595375,73,180,26
783,554429,73,205,30
784,572365,70,180,30
785,543432,76,240,31
786,642082,74,195,23
787,605480,70,180,25
788,594824,72,190,29
789,542642,72,230,27
790,592731,72,213,29
791,543148,70,215,31
792,452657,76,240,34
793,461865,73,200,32
794,621389,73,213,27
795,543281,68,185,31
796,605170,73,215,25
797,493114,69,180,36
798,553869,73,215,27
799,491676,73,196,31
800,458689,76,235,31
801,596143,73,180,25
802,542255,71,190,27
803,430947,70,195,34
804,543213,68,185,31
805,609275,73,190,23
806,430912,75,230,34
807,571841,72,180,30
808,570717,70,190,26
809,571466,71,192,27
810,645277,68,165,21
811,430897,72,195,37
812,518542,69,195,28
813,592863,73,195,27
814,656185,72,175,25
815,621311,74,195,24
816,488912,71,200,35
817,474443,71,200,31
818,488818,73,197,31
819,608671,74,185,27
820,467070,71,205,33
821,599096,70,210,24
822,596057,74,185,25
823,519421,73,225,30
824,489365,73,205,31
825,502100,70,195,33
826,463610,70,200,33
827,475115,78,245,31
828,446381,70,180,32
829,518490,72,215,29
830,475243,71,175,31
831,467143,74,195,30
832,571918,73,195,28
833,488852,77,215,31
834,595144,72,195,26
835,669720,73,195,23
836,542993,69,170,29
837,622270,73,200,27
838,543776,71,195,31
839,572073,73,185,27
840,449107,70,205,37
841,641432,68,187,23
842,502582,73,200,32
843,543037,76,225,28
844,519168,79,240,29
845,519082,73,185,29
846,518568,70,185,29
847,451192,74,210,33
848,460077,73,205,35
849,664056,72,195,24
850,592710,71,186,29
851,592444,74,201,26
852,571740,72,160,28
853,595238,73,200,27
854,458913,70,195,33
855,573088,77,195,28
856,408299,71,195,36
857,502226,74,190,34
858,593700,72,170,25
859,642708,74,189,22
860,608061,73,203,29
861,623143,74,193,26
862,502182,70,210,32
863,501303,73,170,29
864,500743,71,195,29
865,595426,74,190,29
866,502523,71,175,30
867,453539,69,180,36
868,455369,71,200,33
869,502481,70,165,34
870,518774,76,215,29
871,544931,77,235,30
872,425664,69,190,37
873,591720,68,151,26
874,425549,73,200,39
875,492841,69,180,36
876,595005,72,185,30
877,605183,74,200,28
878,591712,73,230,25
879,547172,70,200,26
880,543829,71,170,30
881,572788,74,220,29
882,570489,70,170,26
883,600474,73,219,25
884,400085,71,175,44
885,605509,74,171,28
886,451532,73,240,34
887,150359,76,230,41
888,501992,75,225,30
889,453286,75,215,34
890,542963,73,195,29
891,502009,78,245,30
892,621563,73,190,28
893,543557,77,215,29
894,445055,71,195,33
895,641319,69,158,26
896,620446,72,185,22
897,545337,71,195,27
898,519184,69,175,30
899,452672,72,225,38
900,643393,66,165,26
901,657077,72,205,22
902,607257,69,200,31
903,501800,74,215,34
904,542881,76,210,28
905,448802,74,215,32
906,573186,68,180,27
907,449786,74,240,34
908,621471,70,185,25
909,553988,73,190,26
910,553882,71,220,26
911,645848,74,180,29
912,518653,70,180,31
913,502273,72,195,31
914,218596,73,175,43
915,285064,76,215,41
916,430652,69,195,36
917,453385,77,240,35
918,501986,71,200,30
919,592662,74,195,27
920,543734,74,195,31
921,593495,71,190,25
922,408242,71,190,41
923,112526,71,285,45
924,430948,69,225,35
925,408241,73,195,37
926,543706,71,200,33
927,455755,76,215,36
928,457574,73,200,32
929,514913,71,200,28
930,519071,70,185,28
931,452718,75,220,34
932,502570,73,185,30
933,594902,76,190,26
934,592567,76,205,26
935,594798,76,180,30
936,468406,69,180,33
937,606132,74,180,24
938,628317,73,175,30
939,518902,72,190,30
940,643335,73,175,26
941,595956,75,230,25
942,542364,71,160,27
943,456124,76,250,38
944,435078,73,185,34
945,453203,69,170,33
946,592419,75,205,29
947,460131,75,215,34
948,608365,72,200,24
949,593428,73,210,26
0,592351,76,235,26
