,batter_id,height,weight,age,position,bats,throws
138,621566,"6' 5""",230,24,1B,L,R
139,640449,"6' 1""",190,24,LF,R,R
140,518735,"6' 1""",235,29,C,S,R
141,451713,"6' 5""",260,31,LF,L,L
142,542921,"6' 1""",205,28,3B,R,R
143,453943,"6' 3""",220,32,3B,R,R
144,518618,"6' 0""",205,29,LF,L,R
145,458015,"6' 2""",220,35,1B,L,R
146,467793,"5' 11""",210,32,1B,S,R
147,453064,"6' 3""",205,33,SS,R,R
148,594988,"6' 0""",228,28,RF,L,R
149,594807,"6' 1""",215,30,LF,R,R
150,453568,"6' 3""",210,32,CF,L,L
151,571431,"6' 3""",245,30,1B,L,R
152,572128,"6' 3""",230,27,LF,R,R
153,452239,"6' 4""",225,34,OF,R,R
154,596059,"5' 11""",195,24,2B,L,R
155,425834,"6' 3""",185,34,LF,R,R
156,595885,"6' 4""",220,25,1B,L,R
157,431145,"5' 10""",205,35,C,R,R
158,429667,"6' 4""",250,38,1B,L,L
159,596115,"6' 1""",210,25,SS,R,R
160,656305,"6' 0""",210,25,3B,R,R
161,596103,"6' 2""",197,25,LF,R,R
162,453211,"6' 4""",205,34,CF,R,R
163,592609,"6' 2""",210,30,3B,R,R
164,434604,"6' 5""",245,36,LF,R,R
165,519222,"6' 1""",220,29,C,R,R
166,425783,"5' 11""",210,36,RF,L,L
167,461416,"6' 3""",205,35,RF,L,L
168,596146,"6' 4""",205,25,RF,L,L
169,516770,"6' 2""",230,28,2B,R,R
170,546318,"5' 11""",205,26,CF,L,R
171,592273,"6' 2""",210,26,3B,R,R
172,455117,"6' 0""",230,32,C,R,R
173,592192,"6' 2""",210,29,CF,R,R
174,643603,"5' 11""",225,27,1B,R,R
175,518466,"6' 5""",235,29,RF,R,R
176,571761,"6' 1""",205,28,OF,L,L
177,592122,"6' 2""",220,27,1B,R,R
178,150212,"6' 2""",220,39,RF,R,R
179,660162,"6' 2""",205,23,2B,S,R
180,543434,"6' 0""",210,28,3B,R,R
181,458675,"6' 2""",195,32,RF,L,L
182,502317,"6' 1""",220,33,LF,R,R
183,527043,"6' 1""",220,27,1B,R,R
184,594694,"5' 11""",200,26,2B,S,R
185,501647,"5' 11""",220,29,1B,R,R
186,506747,"6' 2""",230,28,C,R,R
187,543228,"6' 2""",215,31,C,R,R
188,656555,"6' 4""",225,25,LF,R,R
189,607387,"6' 2""",205,28,LF,R,R
190,466320,"5' 10""",210,34,RF,S,L
191,571771,"5' 11""",200,27,CF,R,R
192,456715,"6' 2""",205,32,CF,R,R
193,446481,"6' 0""",200,33,2B,R,R
194,543105,"6' 3""",235,28,LF,L,L
195,430605,"6' 0""",185,37,OF,R,R
196,596748,"6' 1""",215,26,3B,R,R
197,517369,"6' 0""",220,28,2B,R,R
198,598265,"5' 10""",200,28,CF,L,R
199,460026,"6' 0""",203,35,C,R,R
200,573131,"6' 3""",250,32,1B,R,R
201,519208,"6' 5""",240,33,1B,L,L
202,430001,"6' 0""",210,36,2B,R,R
203,607208,"6' 2""",185,25,SS,R,R
204,452104,"6' 2""",215,34,3B,S,R
205,592836,"6' 4""",235,26,P,R,R
206,500874,"6' 6""",215,30,1B,R,R
207,592621,"6' 0""",205,29,RF,R,R
208,446334,"6' 1""",215,32,3B,R,R
209,553993,"5' 11""",213,27,3B,R,R
210,518792,"6' 5""",240,29,RF,L,L
211,592663,"6' 1""",210,27,C,R,R
212,605141,"5' 9""",180,26,RF,R,R
213,517370,"6' 3""",200,29,RF,S,R
214,544925,"6' 2""",210,31,CF,L,L
215,605131,"5' 10""",190,28,C,R,R
216,518934,"6' 4""",215,30,2B,R,R
217,136860,"6' 1""",215,41,CF,S,R
218,516416,"5' 10""",205,28,SS,R,R
219,649557,"6' 1""",195,28,SS,R,R
220,449181,"6' 2""",215,32,CF,R,R
221,457803,"6' 3""",225,31,RF,L,L
222,542340,"6' 1""",215,27,2B,S,R
223,488810,"5' 11""",215,32,C,R,R
224,450317,"6' 1""",210,32,C,R,R
225,519390,"6' 0""",225,33,C,L,R
226,572114,"5' 9""",180,30,3B,L,R
227,519346,"6' 0""",210,31,1B,L,R
228,425509,"6' 2""",225,36,SS,R,R
229,523253,"6' 1""",205,31,2B,R,R
230,543038,"6' 2""",205,31,SS,R,R
231,460086,"6' 1""",225,34,LF,L,R
232,546991,"6' 2""",190,24,CF,R,R
233,572039,"6' 3""",210,27,RF,R,R
234,444843,"6' 2""",210,36,RF,L,L
235,547982,"6' 2""",200,30,CF,L,R
236,571553,"6' 1""",220,28,LF,L,L
237,475253,"6' 4""",220,31,1B,S,L
238,570615,"6' 7""",260,27,RF,L,R
239,543308,"6' 2""",230,29,1B,R,R
240,571980,"6' 2""",195,27,RF,L,R
241,456781,"5' 10""",205,30,2B,R,R
242,519345,"6' 2""",200,30,1B,S,R
243,435064,"6' 0""",230,35,C,R,R
244,606466,"6' 1""",165,24,2B,S,R
245,429666,"6' 1""",200,36,SS,R,R
246,572019,"6' 4""",210,30,1B,L,R
247,572233,"6' 0""",220,27,1B,R,R
248,502029,"6' 3""",229,30,OF,R,R
249,471083,"5' 11""",221,35,C,L,R
